Nombre,Apellido,Edad,DNI,Nacionalidad,Email,Diagnostico
Karly,Brittani,38,35409252,Brasileño,undefined.undefined@gmail.com,Hemofilia
Kore,McGrody,43,18456272,Chileno,undefined.undefined@gmail.com,Queratocono
Orelia,Seligman,16,65458557,Chileno,undefined.undefined@gmail.com,Cáncer de mama
Jsandye,Waldron,10,55102528,Brasileño,undefined.undefined@gmail.com,Cáncer de próstata
Brena,Pozzy,16,70469723,Venezolano,undefined.undefined@gmail.com,Síndrome de Dandy-Walker
Augustine,Guildroy,52,21315989,Cubano,undefined.undefined@gmail.com,Hepatitis B
Steffane,Karylin,49,45132373,Brasileño,undefined.undefined@gmail.com,Hemocromatosis
Laure,Ader,19,61719673,Beliceño,undefined.undefined@gmail.com,Dermatitis atópica
Paulita,Bandeen,69,94155883,Guyanés,undefined.undefined@gmail.com,Endometriosis
Katuscha,Sinegold,46,77015070,Panameño,undefined.undefined@gmail.com,Síndrome de Turner
Suzette,Charity,60,98341617,Costarricense,undefined.undefined@gmail.com,Enfermedad de Lyme
Vonny,Haymes,32,23289966,Argentino,undefined.undefined@gmail.com,Cáncer de riñón
Juan,Pérez,35,12345678,Mexicano,juan@example.com,Sin diagnóstico
